chapter	local_frame	score	bad_frame	manual_override
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	157	0.31263026	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	158	3.90642072	1	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	159	4.92038560	1	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	160	-0.02885937	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	161	5.66823796	1	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	162	2.38937203	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	163	0.20301270	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	164	-0.34798955	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	165	-0.83656351	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	166	-0.97654379	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	167	-0.85699458	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	168	-0.69027022	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	169	-0.26850932	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	170	-0.43220001	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	171	-0.01483730	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	172	-0.04273050	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	173	0.34661912	1	1
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	174	0.41390255	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	175	-0.05426928	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	176	-0.13235896	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	177	-0.40936127	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	178	-0.18051873	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	179	-0.50873962	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	180	-1.08940242	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	181	-0.96205941	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	182	-0.47321421	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	183	-0.03832252	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	184	0.01139793	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	185	-0.18650697	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	186	-0.37254679	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	187	-0.45657782	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	188	-0.18567626	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	189	-0.18392554	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	190	0.07612353	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	191	-0.05710750	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	192	-0.09654585	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	193	-0.24903542	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	194	-0.17766914	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	195	-0.22535141	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	196	-0.12195590	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	197	-0.31486390	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	198	-0.18428540	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	199	-0.33922463	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	200	0.12347925	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	201	-0.18840878	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	202	-0.27575463	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	203	-0.33349610	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	204	-0.18149351	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	205	-0.32778585	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	206	-0.27201597	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	207	-0.21584755	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	208	-0.00076569	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	209	-0.08899071	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	210	-0.12633825	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	211	-0.03204011	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	212	0.14746219	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	213	0.17705380	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	214	0.32696055	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	215	0.37747251	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	216	0.61101864	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	217	0.60221349	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	218	0.45402142	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	219	0.18821065	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	220	0.12853420	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	221	0.32527035	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	222	0.32051199	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	223	0.11080145	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	224	0.13463776	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	225	-0.03690846	0	0
1995 - Jim & Linda Wedding - 12 Reception Ring Close-Ups (March 18, 1995)	226	0.05217555	0	0
